region	chr	midPos	Nsites
(7611,8240)(76016,76654)(50000,100000)	JASDQU010012840.1	75000	631	0.093299
(913,917)(95324,95333)(50000,100000)	JASDQU010012843.1	75000	6	0.113309
(2758,2843)(131613,131881)(100000,150000)	JASDQU010012850.1	125000	87	0.000006
(674,812)(199675,199813)(150000,200000)	JASDQU010012855.1	175000	140	0.175962
(350,1258)(115883,147243)(100000,150000)	JASDQU010012909.1	125000	910	0.860268
(1059,1229)(100000,100190)(100000,150000)	JASDQU010012914.1	125000	172	0.037208
(150,324)(320501,320816)(300000,350000)	JASDQU010012930.1	325000	176	0.001780
(1926,2779)(77381,78255)(50000,100000)	JASDQU010012940.1	75000	855	0.341605
(814,1194)(344188,344803)(300000,350000)	JASDQU010012943.1	325000	382	0.050448
(142,147)(72563,72627)(50000,100000)	JASDQU010012946.1	75000	7	0.071725
(291,422)(77801,77938)(50000,100000)	JASDQU010012960.1	75000	133	0.074203
(90,118)(100267,100330)(100000,150000)	JASDQU010012973.1	125000	30	0.043940
(153,199)(153303,153393)(150000,200000)	JASDQU010012977.1	175000	48	0.105574
(353,753)(102270,109627)(100000,150000)	JASDQU010013018.1	125000	402	0.054195
(754,801)(242591,242847)(200000,250000)	JASDQU010013018.1	225000	49	0.179854
(15,906)(194630,195525)(150000,200000)	JASDQU010013037.1	175000	893	0.472598
(4348,4927)(50951,51555)(50000,100000)	JASDQU010013045.1	75000	581	0.174579
(479,517)(134632,134698)(100000,150000)	JASDQU010013080.1	125000	40	0.100909
(518,777)(156295,194250)(150000,200000)	JASDQU010013080.1	175000	261	0.131442
(44,758)(170658,196361)(150000,200000)	JASDQU010013107.1	175000	716	0.339821
(586,1047)(204752,245283)(200000,250000)	JASDQU010013133.1	225000	463	0.034077
(1610,3693)(63545,69396)(50000,100000)	JASDQU010013151.1	75000	2085	0.206078
(930,3411)(55031,67481)(50000,100000)	JASDQU010013177.1	75000	2483	0.385242
(323,1297)(72222,79609)(50000,100000)	JASDQU010013212.1	75000	976	0.101051
(37,1415)(91032,92625)(50000,100000)	JASDQU010013221.1	75000	1380	0.193435
(630,678)(99275,99323)(50000,100000)	JASDQU010013226.1	75000	50	0.050483
(1098,1366)(183674,184643)(150000,200000)	JASDQU010013256.1	175000	270	0.044257
(212,795)(70656,86764)(50000,100000)	JASDQU010013259.1	75000	585	0.331005
(901,1898)(74974,81871)(50000,100000)	JASDQU010013271.1	75000	999	0.552555
(1899,2151)(161759,162085)(150000,200000)	JASDQU010013271.1	175000	254	0.020405
(2152,2707)(219936,220505)(200000,250000)	JASDQU010013271.1	225000	557	0.645692
(2243,2440)(219821,220031)(200000,250000)	JASDQU010013272.1	225000	199	0.508529
(184,372)(97613,97839)(50000,100000)	JASDQU010013282.1	75000	190	0.085236
(185,390)(118192,118564)(100000,150000)	JASDQU010013285.1	125000	207	0.825836
(1114,1172)(100938,124640)(100000,150000)	JASDQU010013294.1	125000	60	0.067720
(994,1185)(204293,204497)(200000,250000)	JASDQU010013311.1	225000	193	0.629042
(246,929)(63206,63891)(50000,100000)	JASDQU010013315.1	75000	685	0.623065
(385,939)(60515,61105)(50000,100000)	JASDQU010013319.1	75000	556	0.540285
(703,1186)(70034,70568)(50000,100000)	JASDQU010013326.1	75000	485	0.028538
(1020,1517)(163331,163864)(150000,200000)	JASDQU010013330.1	175000	499	0.222552
(12,1098)(106406,107498)(100000,150000)	JASDQU010013332.1	125000	1088	0.219797
(2111,2353)(221874,222286)(200000,250000)	JASDQU010013353.1	225000	244	0.541294
(233,364)(140338,140484)(100000,150000)	JASDQU010013357.1	125000	133	0.027420
(365,396)(296330,296371)(250000,300000)	JASDQU010013357.1	275000	33	0.086778
